timestamp,module,latency,status
1697479719,/pokeapi,31,200
1697479719,/pokestats,2,200
1697479719,/pokeImages,1,200
1697479772,/pokeapi,35,200
1697479772,/pokestats,2,200
1697479772,/pokeImages,1,200
1697479774,/pokeapi,41,200
1697479774,/pokestats,3,200
1697479774,/pokeImages,2,200
1697479776,/pokeapi,37,200
1697479776,/pokestats,2,200
1697479776,/pokeImages,1,200
1697479778,/pokeapi,46,200
1697479778,/pokestats,1,200
1697479778,/pokeImages,1,200
1697479780,/pokeapi,97,200
1697479780,/pokestats,3,200
1697479780,/pokeImages,2,200
1697479782,/pokeapi,99,200
1697479782,/pokestats,1,200
1697479782,/pokeImages,2,200
1697479784,/pokeapi,39,200
1697479784,/pokestats,4,200
1697479784,/pokeImages,3,200
1697479786,/pokeapi,43,200
1697479786,/pokestats,4,200
1697479786,/pokeImages,1,200
1697479788,/pokeapi,44,200
1697479788,/pokestats,2,200
1697479788,/pokeImages,1,200
1697479790,/pokeapi,41,200
1697479790,/pokestats,2,200
1697479790,/pokeImages,3,200
1697479792,/pokeapi,37,200
1697479792,/pokestats,2,200
1697479792,/pokeImages,1,200
1697479794,/pokeapi,38,200
1697479794,/pokestats,3,200
1697479794,/pokeImages,2,200
